"host.name","parasite.name","host.genus","host.adultmass","host.diet_breadth","host.gest_length","host.ind_homerange","host.litter_size","host.max_age","host.trophic_stat","host.abund","parasite.taxonomy","parasite.IorE","count","fold"
"chin","anno","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Arthropod","E",0,10
"chin","asac","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Helminth","E",0,7
"chin","cape","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Helminth","E",0,7
"chin","citr","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Helminth","E",0,9
"chin","cuau","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Arthropod","E",0,6
"chin","cune","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Arthropod","E",0,2
"chin","ealb","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,7
"chin","eari","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,7
"chin","ebal","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,8
"chin","ecga","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,1
"chin","echi","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,5
"chin","echo","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",3,2
"chin","edip","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",1,2
"chin","ekno","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,8
"chin","elad","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,10
"chin","elan","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,10
"chin","elio","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,8
"chin","emer","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",1,1
"chin","eony","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,6
"chin","eper","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,7
"chin","eree","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",16,7
"chin","esch","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,4
"chin","esev","Chaetodipus",16.5,2,30,0.04,4.5,36,1,86,"Protozoa","I",0,4
